jobClass,jobCompany,jobMoney,jobName,jobNeed,jobPlace,jobSpesk,jobType,jobUrl
投资助理,瀚德金融,15k-20k,固定收益投资经理-HZXJ,经验3-5年 / 硕士,越秀区,“福利好，扁平管理”,金融 / 不需要融资,
投资助理,佛山巨投,2k-3k,投资顾问,经验不限 / 大专,芳村,"“朝九晚五,周末双休,提成,福利好”",金融 / 不需要融资,
投资助理,开始吧,8k-12k,项目投资顾问,经验3-5年 / 本科,天河城,"“福利好,氛围好,弹性工作日,报复平庸”","移动互联网,金融 / C轮",
投资助理,广州中原,7K-14K,房地产投资顾问,经验不限 / 不限,石牌,“带薪年假 周末开单 全勤奖 下午茶”,移动互联网、生活服务 / 上市公司,
投资助理,恒大珠三角公司,5k-10k,投资调研,经验1-3年 / 本科,沙河,"“500强,上市公司”","移动互联网,生活服务 / 上市公司",
投资助理,助行投资,12K-24K,投资经理,经验5-10年 / 本科,新港,“底薪+高提成，五险，包午餐，双休等”,金融 / 天使轮,
分析师,广州银行信用卡中心,15k-20k,数据分析师,经验3-5年 / 本科,天河城,"“周末双休,氛围好,五险一金,领导耐撕”",金融 / 不需要融资,
分析师,广州棒谷科技股份有限公司,10k-20k,大数据分析师,经验1-3年 / 本科,白云大道,"“海量数据,人工智能,高学历团队”",电子商务 / 不需要融资,
分析师,尚德机构,8k-10k,数据分析师/BI,经验不限 / 本科,天河公园,"“五险一金,周末双休,节日福利,免费学习”",教育 / D轮及以上,
分析师,合众财富,10k-20k,数据分析师,经验3-5年 / 大专,天河区,"“五险一金,周末双休,年终奖,全勤奖”","金融,移动互联网 / 不需要融资",
分析师,云房数据,5k-10k,数据分析师,经验不限 / 大专,水荫,“五险一金 周末双休”,移动互联网 / 不需要融资,
分析师,利通科技,15k-25k,数据分析师,经验1-3年 / 硕士,萝岗区,"“优秀团队,行业前景,丰厚奖金,带薪年假”","企业服务,信息安全 / 不需要融资",
分析师,PPmoney互联网金融平台,10k-20k,数据分析师,经验3-5年 / 本科,沙河,"“互联网金融,上市公司,下午茶,健身俱乐部”",金融 / 上市公司,
分析师,栗子科技,5k-10k,数据分析师,经验不限 / 大专,员村,"“五险一金,宽松氛围,弹性上班制,下午茶”","移动互联网,广告营销 / 不需要融资",
分析师,广东智源,8k-15k,数据分析师,经验1-3年 / 硕士,登峰,"“五险一金,绩效奖金,月度活动,年度旅游”","移动互联网,企业服务 / 不需要融资",
分析师,省广集团,20k-35k,数据分析师,经验5-10年 / 硕士,琶洲,"“前景广阔,老板好,福利优厚,部门氛围佳”",广告营销 / 上市公司,
分析师,舜飞科技,8k-15k,广告优化/数据分析师,经验1年以下 / 本科,车陂,“数据控的黄金职业~~”,移动互联网 / 未融资,
分析师,DataStory,5k-8k,数据分析师-广州-00145,经验1-3年 / 本科,猎德,"“高速发展,领导好,氛围好,业务导向”",数据服务 / B轮,
分析师,贝聊,10k-15k,数据分析师,经验1-3年 / 本科,天园,“技术大牛带你飞，周末双休，部门氛围活跃”,"移动互联网,教育 / B轮",
分析师,一手服装批发APP,8k-13k,数据分析师,经验1-3年 / 本科,陈家祠,"“成长快~,氛围活跃,包两餐,零食供应”","移动互联网,电子商务 / A轮",
分析师,Ways,5k-7k,数据分析师,经验1-3年 / 本科,猎德,“六险一金”,"移动互联网,企业服务 / 未融资",
结算,一智通,4k-6k,结算专员,经验1-3年 / 大专,兴华,"“带薪年假,节日福利,弹性时间,领导nic”",企业服务 / B轮,
结算,8868交易平台,3k-4k,结算专员,经验不限 / 大专,棠下,"“双休,五险一金”","移动互联网,电子商务 / B轮",
结算,优投金服,4k-6k,结算专员,经验1-3年 / 大专,沙河,"“周末双休,朝九晚六,五险一金,定期体检”","移动互联网,金融 / 未融资",
结算,品骏,10k-20k,结算经理,经验5-10年 / 本科,琶洲,"“包三餐,提供住宿,交通补贴,五险一金”","移动互联网,电子商务 / 上市公司",
结算,酷狗音乐,6k-12k,ZBBU-结算专员,经验1-3年 / 本科,东圃,“大平台”,"移动互联网,文化娱乐 / 不需要融资",
结算,骑鹅旅行,4k-8k,财务结算专员,经验1-3年 / 大专,客村,"“团队优秀,带薪年假,丰厚待遇,环境优美”","旅游,数据服务 / A轮",
结算,铂涛旅行,8k-12k,结算会计/财务主管,经验3-5年 / 本科,瑞宝,“五险一金；弹性工作；员工旅游；绩效奖金”,"移动互联网,旅游 / 未融资",
结算,网易达科技,4k-6k,结算专员（项目运营）,经验不限 / 大专,海珠区,"“年底双薪,项目奖金,五险一金,弹性工作”","移动互联网,游戏 / 未融资",
结算,广州腾智,5K-7K,驻海外风控结算专员,经验不限 / 不限,员村,“年底双薪+分红 带薪年假 免费提供食宿 ”,游戏 / 不需要融资,
结算,多益网络,8k-15k,预结算员,经验不限 / 不限,萝岗区,“互联网百强”,"移动互联网,游戏 / 不需要融资",
财务,广州七海,3k-4k,财务助理,经验1-3年 / 本科,岭南,"“带薪年假,带薪病假,地处繁华商,领导易相处”",其他 / 不需要融资,
财务,骏嘉财通,3k-6k,财务助理,经验不限 / 本科,岭南,"“提供住宿,晋升,带薪培训,跨国企业”",金融 / 未融资,
财务,卡宝宝,10k-15k,财务总监/经理,经验3-5年 / 本科,广州,"“双休,五险一金,带薪年假,股权激励”","移动互联网,金融 / 上市公司",
财务,3456玩,3k-5k,财务助理,经验不限 / 大专,天河区,"“周末双休,工作餐,季度奖金,年度体检”","游戏,移动互联网 / 未融资",
财务,手趣,3k-5k,财务助理,经验1-3年 / 本科,五山,"“五险一金,年底”",游戏 / 不需要融资,
财务,互动大师iH5.cn,5k-9k,财务专员／主管,经验1-3年 / 本科,五羊新城,"“逆天产品,午餐补助,五险一金,带薪年假”",数据服务 / B轮,
财务,粉星时尚,5k-8k,财务,经验3-5年 / 本科,东湖,"“扁平办公,高速成长,年轻团队,发展空间大”","移动互联网,电子商务 / A轮",
财务,广州棒谷科技股份有限公司,3k-5k,财务专员,经验不限 / 本科,白云区,"“五险一金,奖金绩效多,晋升空间大,带薪年假”",电子商务 / 不需要融资,
财务,广东道一,5k-8k,财务专员,经验1-3年 / 大专,天河公园,"“五险一金,公司平台好,晋升机会多,办公环境好”",移动互联网 / 上市公司,
财务,拿火音乐,5k-7k,会计/财务,经验5-10年 / 大专,解放北,"“周末双休,弹性工作,年终奖金,购买社保”",移动互联网 / 不需要融资,
财务,广州智选网络科技有限公司,4k-6k,财务专员,经验1-3年 / 本科,天河区,"“五险一金,年底双薪,免费班车,下午茶”",移动互联网 / A轮,
财务,邑世游戏,3k-5k,财务助理,经验1-3年 / 大专,天河区,"“周末双休,工作餐,季度奖金,节日福利”","移动互联网,游戏 / 未融资",
财务,亚美,3k-5k,财务助理,经验不限 / 不限,五山,"“五险一金,周末双休,年终奖金,下午茶”",移动互联网 / 不需要融资,
财务,多益网络,12k-18k,财务专员,经验不限 / 不限,萝岗区,“互联网百强”,"移动互联网,游戏 / 不需要融资",
财务,悄悄科技,5k-8k,高薪诚聘财务,经验3-5年 / 本科,冼村,"“弹性工作,晋升空间大,薪酬高”","移动互联网,社交网络 / 不需要融资",
